id,contest,section,registry_num,school,production,github,bitbucket,other_repo,slideshare,other_slide,twitter,facebook,site,result,prize
1,25,1,1,"弓削商船高専","光陰如箭 —A ray of hope—",,,,,,,,,,"優秀賞,Second Prize"
2,25,1,2,"大島商船高専","潮エネ！ ""安"" —スゴいぞ潮流発電・３つの安で世界を変える—",,,,,,,,,,"敢闘賞"
3,25,1,3,"松江高専","Change —希望が育つ願いの樹—",,,,,,,,,,"敢闘賞"
4,25,1,4,"沖縄高専","Go!Up —助かる命を守りたい—",,,,,,,,,,"敢闘賞"
5,25,1,5,"明石高専","Man-Hold —町を守る近未来マンホール—",,,,,,,,,,"特別賞,ネクストウェア企業賞"
6,25,1,6,"富山高専射水キャンパス","DTN通信を用いた災害時の安否及び避難所情報収集システム",https://github.com/Collonville/Procon2014DTNConnectionApp,"","",http://www.slideshare.net/Collonville/25-40533922,"",https://twitter.com/Collonville,https://www.facebook.com/hokuto.tateyama,"",,"敢闘賞"
7,25,1,7,"旭川高専","BlockSnow —ホワイトアウト回避アプリ—",,,,,,,,,,"敢闘賞"
8,25,1,8,"一関高専","マブコXD —マップでつなぐ地域コミュニケーション—",,,,,,,,,,"敢闘賞,富士通企業賞"
9,25,1,9,"米子高専","PoP —災害時被災者情報管理システム—",,,,,,,,,,"敢闘賞"
10,25,1,10,"津山高専","Grouper —集まりを　つながりに—",https://github.com/TNCT-SYSKEN/Grouper,"","",http://www.slideshare.net/Raryosu/grouper-procon25,"","","","",,"敢闘賞"
11,25,1,11,"仙台高専広瀬キャンパス","BBB —非常時の非インタネット環境での情報交換システム—",,,,,,,,,,"敢闘賞"
12,25,1,12,"鈴鹿高専","Relief Supplies Relay",,,,,,,,,,"特別賞"
13,25,1,13,"金沢高専","津波避難エキスパート",,,,,,,,,,"敢闘賞"
14,25,1,14,"弓削商船高専","i-BadfeOVERしまNET —子供見守り防災システム—",,,,,,,,,,"特別賞"
15,25,1,15,"沖縄高専","Sneaker@mail —心配なあの人に届ける便り—",,,,,,,,,,"敢闘賞"
16,25,1,16,"新居浜高専","キズナ時計 —万が一のに備えた腕時計—",,,,,,,,,,"敢闘賞"
17,25,1,17,"熊本高専八代キャンパス","MAP FIXER —災害時に役立つ町内道路地図アプリ—",,,,,,,,,,"敢闘賞"
18,25,1,18,"高知高専","つながっタワー —津波避難タワー間を結ぶ安心防災システム—",,,,,,,,,,"文部科学大臣賞,最優秀賞,情報処理学会若手奨励賞,Grand Prize"
19,25,1,19,"鳥羽商船高専","人（ヒート）マップ —みんなで作る情報マップ—",,,,,,,,,,"特別賞"
20,25,1,20,"福井高専","WT —つなぐ・つながる　パケットを遠くまで届け隊!!!—",,,,,,,,,,"敢闘賞,さくらインターネット企業賞"
21,25,1,21,"宇部高専","SKcAP —空から支える復興支援—",,,,,,,,,,"敢闘賞"
22,25,2,1,"香川高専詫間キャンパス","すくえあ",,,,,,,,,,"文部科学大臣賞,最優秀賞,情報処理学会若手奨励賞,Grand Prize,東芝ソリューション企業賞"
23,25,2,2,"津山高専","Writening —自分と　世界と　つながる手帳—","","","",http://www.slideshare.net/takumisueda/25-writening,"","","","",,"敢闘賞"
24,25,2,3,"熊本高専熊本キャンパス","TeleRokuro —マルチプレーヤー3DCGビルダー—",,,,,,,,,,"敢闘賞"
25,25,2,4,"徳山高専","御座敷トラベラー —メガネを欠ければ今ここから広がるセカイ—",,,,,,,,,,"敢闘賞"
26,25,2,5,"新居浜高専","CT・MRIによる骨粗鬆症の３次元解析",,,,,,,,,,"敢闘賞"
27,25,2,6,"長野高専","NaVi —Navigate by Vibration—",,,,,,,,,,"敢闘賞"
28,25,2,7,"鈴鹿高専","postKey —会議室らくらくシェアシステム—",,,,,,,,,,"特別賞"
29,25,2,8,"熊本高専八代キャンパス","STEP APP!!",,,,,,,,,,"特別賞"
30,25,2,9,"米子高専","あみがみ様 —3D編物デザイン支援システム—",,,,,,,,,,"敢闘賞"
31,25,2,10,"八戸高専","CosmoSWeeper —スペースデブリ回収体験システム—",,,,,,,,,,"敢闘賞"
32,25,2,11,"久留米高専","cosmo craft",,,,,,,,,,"敢闘賞"
33,25,2,12,"鳥羽商船高専","はなまるフォーム —スポーツ上達サポートアプリ—",,,,,,,,,,"優秀賞,Second Prize"
34,25,2,13,"弓削商船高専","Code on the Tablet",,,,,,,,,,"特別賞"
35,25,2,14,"釧路高専","Rapid House —サーバー自動チューニングシステム—",,,,,,,,,,"敢闘賞,ブロードリーフ企業賞"
36,25,2,15,"金沢高専","すごろく観光 —ゲーム型　観光サポートアプリ—",,,,,,,,,,"敢闘賞"
37,25,2,16,"福島高専","おそらく王手 —AR量子将棋盤—",,,,,,,,,,"敢闘賞"
